Start,End,Asset,Frequency,Total Trades,Total P/L,Trades Won (n),Trades Won (%),Trades Lost (n),Trades Lost (%),Trades Tied (n),Trades Tied (%)
1988-07-29 00:00,2022-12-22 00:00,STAN.L.csv,D1,111,-603.0392670542677,33,29.72972972972973,78,70.27027027027027,0,0.0
1990-09-25 00:00,2022-12-22 00:00,STJ.L.csv,D1,114,-285.8685753916055,32,28.07017543859649,82,71.9298245614035,0,0.0
1990-01-08 00:00,2022-12-22 00:00,SVT.L.csv,D1,193,-1153.6032911098478,56,29.015544041450774,137,70.98445595854922,0,0.0
1988-07-29 00:00,2022-12-22 00:00,TSCO.L.csv,D1,185,-286.36707927846595,47,25.405405405405407,138,74.5945945945946,0,0.0
2015-01-20 00:00,2022-12-22 00:00,TUI.L.csv,D1,34,-41.84986512557745,11,32.35294117647059,23,67.64705882352942,0,0.0
1988-07-29 00:00,2022-12-22 00:00,TW.L.csv,D1,96,-393.42148775768027,33,34.375,63,65.625,0,0.0
1988-07-29 00:00,2022-12-22 00:00,ULVR.L.csv,D1,223,-2957.74606884542,61,27.3542600896861,162,72.6457399103139,0,0.0
1990-01-08 00:00,2022-12-22 00:00,UU.L.csv,D1,190,-686.0211184216175,57,30.0,133,70.0,0,0.0
1988-11-22 00:00,2022-12-22 00:00,VOD.L.csv,D1,168,-0.742496653160476,64,38.095238095238095,104,61.904761904761905,0,0.0
1995-04-21 00:00,2022-12-22 00:00,WPP.L.csv,D1,152,-787.65722909287,37,24.342105263157894,115,75.6578947368421,0,0.0
1988-07-29 00:00,2022-12-22 00:00,WTB.L.csv,D1,165,2.514263477308475,52,31.515151515151512,113,68.48484848484848,0,0.0
